num,res_file_name,bad_samples
1,BY_REB1_T_1_COX6_5.csv,all
2,BY_REB1_T_1_GDH1_5.csv,all
3,BY_REB1_T_1_HXK1_5.csv,all
4,BY_REB1_T_1_HXK1_6.csv,non
5,BY_REB1_T_1_PCL2_5.csv,all
6,BY_REB1_T_1_STE12_5.csv,all
7,BY_REB1_T_1_TEC1_5.csv,all
8,BY_REB1_T_1_TEC1_6.csv,non
9,BY_TEF1_Cyc8T_1_HOR7_11.csv,non
10,BY_TEF1_Cyc8T_1_HXK1_11.csv,non
11,BY_TEF1_Cyc8T_1_HXT2_11.csv,non
12,BY_TEF1_Cyc8T_1_HXT7_11.csv,4
13,BY_TEF1_Cyc8T_1_promUpstream_12.csv,non
14,BY_TEF1_Cyc8T_1_YAP6_11.csv,non
15,BY_TEF1_D_1_GDH1_8.csv,non
16,BY_TEF1_D_1_GDH2_8.csv,non
17,BY_TEF1_D_1_HOR7_8.csv,non
18,BY_TEF1_D_1_HSP12_7.csv,non
19,BY_TEF1_D_1_HXK1_8.csv,non
20,BY_TEF1_D_1_HXT2_8.csv,non
21,BY_TEF1_D_1_HXT7_8.csv,non
22,BY_TEF1_D_1_PCL2_8.csv,non
23,BY_TEF1_D_1_promUpstream_12.csv,"10,12"
24,BY_TEF1_D_1_YAP6_8.csv,non
25,BY_TEF1_Gln3T_1_GDH1_8.csv,non
26,BY_TEF1_Gln3T_1_GDH2_8.csv,non
27,BY_TEF1_Gln3T_1_HOR7_8.csv,non
28,BY_TEF1_Gln3T_1_HXK1_8.csv,non
29,BY_TEF1_Gln3T_1_promUpstream_12.csv,non
30,BY_TEF1_Med15T_1_HOR7_11.csv,non
31,BY_TEF1_Med15T_1_HXK1_11.csv,non
32,BY_TEF1_Med15T_1_HXT2_11.csv,3
33,BY_TEF1_Med15T_1_HXT7_11.csv,non
34,BY_TEF1_Med15T_1_promUpstream_12.csv,non
35,BY_TEF1_Med15T_1_YAP6_11.csv,non
36,BY_TEF1_Msn2T_1_DAL7_14.csv,non
37,BY_TEF1_Msn2T_1_GDH1_8.csv,2
38,BY_TEF1_Msn2T_1_GDH2_8.csv,2
39,BY_TEF1_Msn2T_1_GRX1_14.csv,non
40,BY_TEF1_Msn2T_1_HOR7_8.csv,2
41,BY_TEF1_Msn2T_1_HSP12_14.csv,non
42,BY_TEF1_Msn2T_1_HSP12_7.csv,non
43,BY_TEF1_Msn2T_1_HXK1_8.csv,2
44,BY_TEF1_Msn2T_1_promUpstream_12.csv,non
45,BY_TEF1_Msn2T_1_TWF1_14.csv,non
46,BY_TEF1_Ste12T_1_HOR7_10.csv,non
47,BY_TEF1_Ste12T_1_PCL2_10.csv,non
48,BY_TEF1_Ste12T_1_promUpstream_12.csv,11
49,BY_TEF1_Ste12T_1_STE12_10.csv,"4,5,11"
50,BY_TEF1_Ste12T_1_TEC1_10.csv,11
51,BY_TEF1_T_1_GDH1_9.csv,1
52,BY_TEF1_T_1_HOR7_9.csv,"5,7"
53,BY_TEF1_T_1_HSP12_7.csv,non
54,BY_TEF1_T_1_HXK1_3.csv,6
55,BY_TEF1_T_1_HXK1_9.csv,3
56,BY_TEF1_T_1_HXT2_9.csv,"2,5"
57,BY_TEF1_T_1_promUpstream_12.csv,all
58,BY_TEF1_T_1_YAP6_9.csv,"1,2,3,4,5,6"
59,BY_TEF1_Tec1T_1_HXK1_10.csv,non
60,BY_TEF1_Tec1T_1_PCL2_10.csv,non
61,BY_TEF1_Tec1T_1_promUpstream_12.csv,2
62,BY_TEF1_Tec1T_1_STE12_10.csv,non
63,BY_TEF1_Tec1T_1_TEC1_10.csv,5
64,dCyc8Mod_TEF1_Cyc8T_1_HOR7_11.csv,"7,8,11"
65,dCyc8Mod_TEF1_Cyc8T_1_HXK1_11.csv,"4,6,7,8,10"
66,dCyc8Mod_TEF1_Cyc8T_1_HXT2_11.csv,9
67,dCyc8Mod_TEF1_Cyc8T_1_HXT7_11.csv,"1,7,11"
68,dCyc8Mod_TEF1_Cyc8T_1_YAP6_11.csv,"3,6"
69,ddMsn_TEF1_Med15T_1_HOR7_11.csv,2
70,ddMsn_TEF1_Med15T_1_HXK1_11.csv,non
71,ddMsn_TEF1_Med15T_1_HXT2_11.csv,8
72,ddMsn_TEF1_Med15T_1_HXT7_11.csv,non
73,ddMsn_TEF1_Med15T_1_YAP6_11.csv,non
74,ddMsn_TEF1_Msn2T_1_GDH1_8.csv,non
75,ddMsn_TEF1_Msn2T_1_GDH2_8.csv,non
76,ddMsn_TEF1_Msn2T_1_HOR7_8.csv,non
77,ddMsn_TEF1_Msn2T_1_HXK1_8.csv,non
78,ddMsn_TEF1_T_1_HXK1_3.csv,"2,5"
79,dMsn2_TEF1_D_1_HXK1_2.csv,
80,dMsn2_TEF1_T_1_HXK1_2.csv,
81,dNrg2_TEF1_D_1_CIN5_2.csv,
82,dNrg2_TEF1_T_1_CIN5_2.csv,
83,dSte12_TEF1_Tec1T_1_HXK1_10.csv,non
84,dSte12_TEF1_Tec1T_1_PCL2_10.csv,non
85,dSte12_TEF1_Tec1T_1_STE12_10.csv,non
86,dSte12_TEF1_Tec1T_1_TEC1_10.csv,11
87,dTec1_TEF1_Ste12T_1_HOR7_10.csv,non
88,dTec1_TEF1_Ste12T_1_PCL2_10.csv,non
89,dTec1_TEF1_Ste12T_1_STE12_10.csv,10
90,dTec1_TEF1_Ste12T_1_TEC1_10.csv,5
91,Ligation_REB1_T_1_COX6_5.csv,non
92,Ligation_REB1_T_1_GDH1_5.csv,non
93,Ligation_REB1_T_1_HXK1_5.csv,non
94,Ligation_REB1_T_1_PCL2_5.csv,non
95,Ligation_REB1_T_1_STE12_5.csv,non
96,Ligation_REB1_T_1_TEC1_5.csv,non
97,Ligation_TEF1_D_0_HSP12_4.csv,non
98,Ligation_TEF1_D_0_HXK1_4.csv,non
99,Ligation_TEF1_D_1_HSP12_4.csv,non
100,Ligation_TEF1_Msn2T_0_HSP12_4.csv,non
101,Ligation_TEF1_Msn2T_1_HSP12_4.csv,non
102,Ligation_TEF1_T_0_HSP12_4.csv,non
103,Ligation_TEF1_T_1_HSP12_4.csv,non
104,Ligation_TEF1_T_1_HXK1_4.csv,non
105,Msn2DBD_TEF1_D_0_HXK1_3.csv,non
106,Msn2DBDOE_TEF1_D_0_HXK1_3.csv,8
107,Msn2MN_TEF1_D_0_HSP12_7.csv,11
108,Msn2MN_TEF1_D_0_HXK1_3.csv,
109,Msn2MN_TEF1_Msn2T_0_GDH1_8.csv,"1,2"
110,Msn2MN_TEF1_Msn2T_0_GDH2_8.csv,"1,2"
111,Msn2MN_TEF1_Msn2T_0_HOR7_8.csv,"2,5,11,12"
112,Msn2MN_TEF1_Msn2T_0_HSP12_7.csv,10
113,Msn2MN_TEF1_Msn2T_0_HXK1_8.csv,2
114,Msn2MN_TEF1_T_0_HSP12_7.csv,all
115,Msn2MNOE_TEF1_D_0_HXK1_2.csv,all
116,Msn2MNOE_TEF1_T_0_HXK1_2.csv,all
117,Msn2OE_TEF1_D_1_HXK1_2.csv,all
118,Msn2OE_TEF1_T_1_HXK1_2.csv,all
119,Nrg2MNOE_TEF1_D_0_CIN5_2.csv,all
120,Nrg2MNOE_TEF1_T_0_CIN5_2.csv,all
121,Nrg2OE_TEF1_D_1_CIN5_2.csv,all
122,Nrg2OE_TEF1_T_1_CIN5_2.csv,all
